"","Company","Product","Cases"
"1","CITIBANK, N.A.","Credit card or prepaid card",15
"2","EQUIFAX, INC.","Credit reporting, credit repair services, or other personal consumer reports",22
"3","EQUIFAX, INC.","Credit reporting",14
"4","Experian Information Solutions Inc.","Credit reporting, credit repair services, or other personal consumer reports",21
"5","JPMORGAN CHASE & CO.","Checking or savings account",12
"6","JPMORGAN CHASE & CO.","Credit card or prepaid card",12
"7","JPMORGAN CHASE & CO.","Mortgage",11
"8","SELECT PORTFOLIO SERVICING, INC.","Mortgage",13
"9","TRANSUNION INTERMEDIATE HOLDINGS, INC.","Credit reporting, credit repair services, or other personal consumer reports",23
"10","WELLS FARGO & COMPANY","Mortgage",24
